Bugs Rule!,"Whitney Cranshaw,Richard Redak",,9/1/2013,"Bugs Rule! provides a lively introduction to the biology and natural history of insects and their noninsect cousins, such as spiders, scorpions, and centipedes. This richly illustrated textbook features more than 830 color photos, a concise overview of the basics of entomology, and numerous sidebars that highlight and explain key points. Detailed chapters cover each of the major insect groups, describing their physiology, behaviors, feeding habits, reproduction, human interactions, and more. Ideal for nonscience majors and anyone seeking to learn more about insects and their arthropod relatives, Bugs Rule! offers a one-of-a-kind gateway into the world of these amazing creatures. Places a greater emphasis on natural history than standard textbooks on the subject Covers the biology and natural history of all the insect orders Provides a thorough review of the noninsect arthropods, such as spiders, scorpions, centipedes, millipedes, and crustaceans Features more than 830 color photos Highlights the importance of insects and other arthropods, including their impact on human society An online illustration package is available to professors",9.78E+12,http://books.google.com/books/content?id=o5TjAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Response Card NXT W/Backlight Clicker,Turning Technologies Staff,Ingram,,,9.78E+12,
The Beak of the Finch,Jonathan Weiner,Vintage,1994,"On a remote outpost of the Galapagos, where Darwin received his first inklings of the theory of evolution, two scientists, Peter and Rosemary Grant, have spent 20 years measuring the beaks of generations of finches--to prove that Darwin did not know the strength of this own theory. ""Spark(s) not just the intellect, but the imagination"".--Washington Post Book World. 50 illustrations. Map.",9.78E+12,http://books.google.com/books/content?id=hAqW3hA9qBAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Genetics,Benjamin A. Pierce,W. H. Freeman,12/27/2013,"With Genetics: A Conceptual Approach, Ben Pierce brings a master teacher’s experiences to the introductory genetics textbook, clarifying this complex subject by focusing on the big picture of genetics concepts and how those concepts connect to one another. The new edition features Pierce’s signature writing style, relevant applications, student-friendly art, and emphasis on problem-solving, while incorporating the latest trends in genetics research. The new edition text and LaunchPad media work closely together for a seamless experience for both instructors and students.",9.78E+12,http://books.google.com/books/content?id=3wC-nQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
ResponseCard NXT,Turning Technologies,Ingram,9/1/2010,,9.78E+12,
MasteringChemistry with Pearson EText -- Standalone Access Code Card -- for General Chemistry,"John C. McMurry,Robert C. Fay,John E. McMurry",Prentice Hall,1/3/2013,"ALERT: Before you purchase, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products. Packages Access codes for Pearson's MyLab & Mastering products may not be included when purchasing or renting from companies other than Pearson; check with the seller before completing your purchase. Used or rental books If you rent or purchase a used book with an access code, the access code may have been redeemed previously and you may have to purchase a new access code. Access codes Access codes that are purchased from sellers other than Pearson carry a higher risk of being either the wrong ISBN or a previously redeemed code. Check with the seller prior to purchase. -- MasteringChemistry® This includes all of the resources of MasteringChemistry in addition to Pearson eText content. The Mastering platform is the most effective and widely used online homework, tutorial, and assessment system for the sciences. It delivers self-paced tutorials that focus on your course objectives, provide individualized coaching, and respond to each student's progress. The Mastering system helps instructors maximize class time with easy-to-assign, customizable, and automatically graded assessments that motivate students to learn outside of class and arrive prepared for lecture or lab. New to MasteringChemistry: NEW! 15 Pause and Predict Video Quizzes bring chemistry to life with lab demonstrations illustrating key topics in general chemistry. Students are asked to predict the outcome of experiments as they watch the videos; a set of multiple-choice questions challenges students to apply the concepts from the video to related scenarios. NEW! Multiple-choice Reading Questions are provided for each chapter, making it easy to hold students accountable for doing assigned readings before lecture. NEW! Approximately 500 end-of-chapter questions are new or revised, andare supported by the tutorial questions in MasteringChemistry. The overall number of algorithmic and randomized problems has also been increased for the new edition. NEW! A subset of end-of-chapter questions has been enhanced with hints and feedback to provide scaffolded support as students move from robust tutorials to doing end-of-chapter and test questions on their own. NEW! All MasteringChemistry tutorials have been evaluated and in many cases edited, revised or rewritten by an advisory board of expert chemists all teaching with the atoms-first approach to ensure the reinforcement of this approach. NEW! 10 PhET tutorials have been developed around interactive applets that foster conceptual understanding and active learning. Topics include acid-base solutions, balancing chemical equations, and molecular polarity.",9.78E+12,http://books.google.com/books/content?id=wDO3NAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Quantum Chemistry and Spectroscopy,"Thomas Engel,Warren Hehre,Philip J. Reid",Prentice Hall,2013,Engel and Reid's Quantum Chemistry & Spectroscopy gives students a¿ contemporary and accurate overview of physical chemistry while focusing on basic principles that unite the sub-disciplines of the field. The Third Edition continues to emphasize fundamental concepts and presents cutting-edge research developments that demonstrate the vibrancy of physical chemistry today.,9.78E+12,http://books.google.com/books/content?id=xcMAYAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
American Film,Jon Lewis,W. W. Norton,2008,"Written by a top scholar in the field, American Film: A History gives students a thorough understanding of the fascinating intersection of artistry and economics in Hollywood cinema from the beginning of film history to the present.",9.78E+12,http://books.google.com/books/content?id=KrJsPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Politics of Documentary,Michael Chanan,British Film Institute,3/15/2008,"Tracing the history of the documentary from the first Lumiere films to Michael Moore’s Fahrenheit 9/11, Chanan addresses topics such as the documentary before documentary, how documentary film language works, the veracity of the image, the problems of the soundtrack, the migration of documentary to television, political documentary, censorship, first-person film-making, and the relations of the archives to history and memory. Focusing on the vital contribution of documentary to the public sphere--the space in which ideas are debated, public opinion is formed and those in authority are held to account--Chanan argues that, without documentary, the public sphere is unable to function.",9.78E+12,http://books.google.com/books/content?id=57VmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Directing Actors,Judith Weston,Michael Wiese Productions,1996,"Result direction and quick fixes - Moment by moment - Listening and talking - Actors' choices - Structure : transitions, events and through-lines - Actors' resources and training - Script analysis - Casting - Rehearsal - Shooting.",9.78E+12,http://books.google.com/books/content?id=tNHDrkkuDVsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
